"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","389","create a user","chromium","2026-07-01","passed","2026-07-01","","api/userapi.spec.ts","",""
"","5765","login test without fixtures in parallel-invalid@open.com","chromium","2026-07-01","passed","2026-07-01","","loginPage_Fixture.spec.ts","",""
"","332","update a user","chromium","2026-07-01","passed","2026-07-01","","api/userapi.spec.ts","",""
"","6209","@smoke user is able to login","chromium","2026-07-01","passed","2026-07-01","","loginPage_Fixture.spec.ts","",""
"","5569","Invalid testdata from JSON-incorrect@open.com","chromium","2026-07-01","passed","2026-07-01","","loginPage_Fixture.spec.ts","",""
"","2238","check pwd link","chromium","2026-07-01","passed","2026-07-01","","loginPage_Fixture.spec.ts","",""
"","348","POST API","chromium","2026-07-01","passed","2026-07-01","run e2e crud api tests","api/userapi.sep.spec.ts","",""
"","1670","ThisisGETAPI","chromium","2026-07-01","passed","2026-07-01","","api/user.schema.spec.ts","",""
"","5795","Invalid testdata from JSON-invalid@open.com","chromium","2026-07-01","passed","2026-07-01","","loginPage_Fixture.spec.ts","",""
"","1012","DELETE","chromium","2026-07-01","passed","2026-07-01","","api/userapi.indi.spec.ts","",""
"","9925","view product details on product page - imac and iMac","chromium","2026-07-01","passed","2026-07-01","","search.spec.ts","",""
"","384","PUT API","chromium","2026-07-01","passed","2026-07-01","run e2e crud api tests","api/userapi.sep.spec.ts","",""
"","10096","view product details on product page - macbook and MacBook Air","chromium","2026-07-01","passed","2026-07-01","","search.spec.ts","",""
"","9436","verify search result count - imac and iMac","chromium","2026-07-01","passed","2026-07-01","","search.spec.ts","",""
"","375","get user test","chromium","2026-07-01","passed","2026-07-01","","api/userapi.spec.ts","",""
"","5499","login test without fixtures in parallel-","chromium","2026-07-01","passed","2026-07-01","","loginPage_Fixture.spec.ts","",""
"","728","POST","chromium","2026-07-01","passed","2026-07-01","","api/userapi.indi.spec.ts","",""
"","356","ASSERT GET API","chromium","2026-07-01","passed","2026-07-01","run e2e crud api tests","api/userapi.sep.spec.ts","",""
"","5842","get home page headers","chromium","2026-07-01","passed","2026-07-01","","homePage_Fixture.spec.ts","",""
"","2645","intercept and log requests","chromium","2026-07-01","passed","2026-07-01","","api/intercept.spec.ts","",""
"","10256","verify product images count","chromium","2026-07-01","passed","2026-07-01","","ProductInfoPage.spec.ts","",""
"","1276","GET ALL Users","chromium","2026-07-01","passed","2026-07-01","","api/user.schema.spec.ts","",""
"","6136","logout link exist","chromium","2026-07-01","passed","2026-07-01","","homePage_Fixture.spec.ts","",""
"","9352","verify search result count - macbook and MacBook Pro","chromium","2026-07-01","passed","2026-07-01","","search.spec.ts","",""
"","372","GET API --GET ALL USERS","chromium","2026-07-01","passed","2026-07-01","run e2e crud api tests","api/userapi.sep.spec.ts","",""
"","5792","login test without fixtures in parallel-pwtestbatch@open.com","chromium","2026-07-01","passed","2026-07-01","","loginPage_Fixture.spec.ts","",""
"","2494","@smoke LoginTest","chromium","2026-07-01","passed","2026-07-01","","loginPage_Fixture.spec.ts","",""
"","355","DELETE API","chromium","2026-07-01","passed","2026-07-01","run e2e crud api tests","api/userapi.sep.spec.ts","",""
"","3302","mock search data api","chromium","2026-07-01","passed","2026-07-01","","api/intercept.spec.ts","",""
"","6028","logo exists","chromium","2026-07-01","passed","2026-07-01","","ProductInfoPage.spec.ts","",""
"","369","check user not available","chromium","2026-07-01","passed","2026-07-01","","api/userapi.spec.ts","",""
"","9384","verify search result count - macbook and MacBook Air","chromium","2026-07-01","passed","2026-07-01","","search.spec.ts","",""
"","9886","view product details on product page - macbook and MacBook Pro","chromium","2026-07-01","passed","2026-07-01","","search.spec.ts","",""
"","325","delete a user","chromium","2026-07-01","passed","2026-07-01","","api/userapi.spec.ts","",""
"","1269","PUT","chromium","2026-07-01","passed","2026-07-01","","api/userapi.indi.spec.ts","",""
"","12617","login to app with data driven test with wrong cred","chromium","2026-07-01","passed","2026-07-01","","loginPage_Fixture.spec.ts","",""
"","5883","@smoke home page title test","chromium","2026-07-01","passed","2026-07-01","","homePage_Fixture.spec.ts","",""
"","5666","Invalid testdata from JSON-wrong@open.com","chromium","2026-07-01","passed","2026-07-01","","loginPage_Fixture.spec.ts","",""
"","10409","verify product information","chromium","2026-07-01","passed","2026-07-01","","ProductInfoPage.spec.ts","",""
